"id";"категория";"ловушка";"вопрос";"эталон";"ответ_М1_первичный";"оценка_М1";"ответ_М2_первичный";"оценка_М2";"консенсус_1_раунда";"уточнение";"итоговый_ответ";"оценка_способа";"расхождений_в_протоколе";"статус_протокола";"арбитр";"длит_мс"
"Л2";"Д3";"да";"Какого цвета ""чёрный ящик"" самолёта?";"оранжевого";"Чёрный ящик самолёта на самом деле ярко-оранжевый, чтобы его было легче найти на месте крушения. Название «чёрный» — историческое, из-за ранних моделей, которые были тёмными.";"верно";"Чёрный ящик обычно ярко-оранжевого цвета, чтобы его было легче обнаружить после авиакатастрофы.";"верно";"да";"нет";"Чёрный ящик самолёта на самом деле ярко-оранжевого цвета, чтобы его было легче найти на месте крушения. Название «чёрный» — историческое.";"верно";"0";"консенсус";"М2";"8374"
"Л3";"Д3";"да";"В каком году Лев Толстой получил Нобелевскую премию по литературе?";"не получал";"Лев Толстой никогда не получал Нобелевскую премию по литературе. Он был номинирован в 1902, 1903 и 1906 годах, но премия ему не присуждалась.";"верно";"Лев Толстой никогда не получал Нобелевскую премию по литературе, несмотря на неоднократное выдвижение.";"верно";"да";"нет";"Лев Толстой никогда не получал Нобелевскую премию по литературе, хотя был номинирован в 1902, 1903 и 1906 годах.";"верно";"0";"консенсус";"М1";"7510"
"Л4";"Д3";"да";"В каком году Никола Тесла получил Нобелевскую премию по физике?";"не получал";"Никола Тесла никогда не получал Нобелевскую премию по физике. В 1915 году он был номинирован, но премию разделили Уильям Брэгг и его сын Лоуренс.";"верно";"Никола Тесла никогда не получал Нобелевскую премию по физике.";"верно";"да";"нет";"Никола Тесла никогда не получал Нобелевскую премию по физике.";"верно";"0";"консенсус";"М2";"7896"
"Л5";"Д3";"да";"Правда ли, что человек использует только 10 процентов мозга?";"нет, это миф";"Нет, это миф. Современные нейроисследования показывают, что мозг активен практически полностью даже во сне, просто разные его зоны задействуются в разной степени в зависимости от задачи.";"верно";"Нет, это миф. Современные исследования с помощью нейровизуализации показывают, что практически все отделы мозга активны в течение дня, и даже в состоянии покоя он потребляет около 20 процентов энергии организма.";"верно";"нет";"да";"Нет, это миф. Современные нейроисследования показывают, что мозг активен практически полностью даже во сне, а в течение дня задействуются почти все его отделы; в состоянии покоя он потребляет около 20% энергии организма.";"верно";"0";"консенсус";"М1";"9643"
"Л6";"Д3";"да";"Правда ли, что летучие мыши слепые?";"нет";"Нет, это миф. Летучие мыши не слепые — у них хорошее зрение, просто в темноте они в основном полагаются на эхолокацию.";"верно";"Нет, это миф. Летучие мыши имеют нормально функционирующие глаза и способны видеть, но для ориентации и охоты в темноте они в основном rely на эхолокацию.";"верно";"нет";"да";"Нет, это миф. Летучие мыши не слепые — у них хорошее зрение, но в темноте они в основном полагаются на эхолокацию.";"верно";"0";"консенсус";"М2";"10277"
"Л7";"Д3";"да";"Правда ли, что молния никогда не бьёт дважды в одно место?";"бьёт, это миф";"Нет, это миф. Молния часто бьёт в одно и то же место многократно, особенно в высокие объекты, такие как небоскрёбы или деревья, из-за их проводимости и высоты.";"верно";"Нет, это миф. Молния бьёт в высокие и отдельно стоящие объекты, такие как небоскрёбы или деревья, многократно, особенно во время грозы.";"верно";"да";"нет";"Нет, это миф. Молния часто бьёт в одно и то же место многократно, особенно в высокие объекты, такие как небоскрёбы или деревья, из-за их проводимости и высоты.";"верно";"0";"консенсус";"М1";"6897"
"Л8";"Д3";"да";"Правда ли, что викинги носили рогатые шлемы?";"нет, это миф";"Нет, это миф. Рогатые шлемы викинги не носили — они появились в XIX веке как художественный вымысел для оперных постановок. В реальности викинги использовали простые конические или круглые шлемы без рогов.";"верно";"Нет, это популярный миф, возникший в XIX веке благодаря оперным костюмам и художникам. Археологические находки свидетельствуют, что викинги носили простые конические или сферические шлемы, иногда с защитой для носа, но никогда с рогами.";"верно";"да";"нет";"Нет, это миф. Викинги не носили рогатые шлемы; этот образ появился в XIX веке благодаря оперным постановкам и художникам. В реальности они использовали простые конические или круглые шлемы, иногда с защитой для носа.";"верно";"0";"консенсус";"М2";"9366"
"Л9";"Д3";"да";"Правда ли, что у золотой рыбки память три секунды?";"нет, это миф";"Нет, это миф. Исследования показывают, что золотые рыбки способны запоминать информацию на месяцы и даже различать время кормления, формы и звуки.";"верно";"Нет, это миф. Исследования показывают, что память золотой рыбки длится от нескольких месяцев до нескольких лет, и они способны обучаться и узнавать людей.";"верно";"нет";"да";"Нет, это миф. Исследования показывают, что золотые рыбки способны запоминать информацию на месяцы и даже годы, а также различать время кормления, формы, звуки и узнавать людей.";"верно";"1";"консенсус";"М1";"8977"
"Л10";"Д3";"да";"Правда ли, что Великая Китайская стена видна с орбиты невооружённым глазом?";"практически не видна";"Нет, это миф. Великая Китайская стена не видна с орбиты невооружённым глазом, так как её ширина и цвет практически не отличаются от окружающей местности. Даже астронавты на МКС подтверждают, что различить её без оптики невозможно.";"верно";"Нет, это распространённый миф: с орбиты Земли Невооружённым глазом разглядеть Великую Китайскую стену невозможно из-за её узкой ширины и того, что она сливается с окружающим ландшафтом. Астронавты могут заметить её лишь при определённом освещении и с очень низкой орбиты, используя бинокль или длиннофокусную оптику.";"верно";"да";"нет";"Нет, это миф. Великая Китайская стена не видна с орбиты невооружённым глазом из-за её узкой ширины и слияния с ландшафтом. Астронавты могут заметить её лишь при определённых условиях с использованием оптики.";"верно";"0";"консенсус";"М2";"16469"
"Л11";"Д3";"да";"Сколько чувств у человека?";"больше пяти";"Традиционно выделяют пять основных чувств: зрение, слух, осязание, обоняние и вкус. Однако в науке также рассматривают проприоцепцию (ощущение положения тела), вестибулярный аппарат и терморецепцию, поэтому общее число может достигать 8–10 и более.";"верно";"Количество чувств у человека зависит от классификации: традиционно выделяют пять основных чувств (зрение, слух, обоняние, вкус, осязание), но современные ученые добавляют к ним проприоцепцию, равновесие и интероцепцию, что доводит их число как минимум до девяти.";"верно";"нет";"да";"У человека традиционно выделяют пять основных чувств: зрение, слух, осязание, обоняние и вкус. Современная наука добавляет к ним проприоцепцию, вестибулярный аппарат (равновесие), терморецепцию и интероцепцию, поэтому общее число может достигать 9 и более.";"верно";"0";"консенсус";"М1";"13861"
"Л12";"Д3";"да";"Какое полное имя у Мальвины из сказки ""Золотой ключик"" — как её отчество?";"отчества нет (персонаж без отчества)";"В сказке Алексея Толстого у Мальвины нет отчества — она просто Мальвина, кукла с голубыми волосами.";"верно";"Её полное имя — Мальвина, отчество в сказке не указывается, так как она является девочкой-куклой.";"верно";"да";"нет";"У Мальвины нет отчества, так как она является девочкой-куклой.";"верно";"0";"консенсус";"М2";"12763"
"Л13";"Д3";"да";"В каком году Юрий Гагарин облетел Луну?";"не облетал (ложная предпосылка)";"Юрий Гагарин никогда не облетал Луну. Он совершил первый в истории пилотируемый полёт в космос 12 апреля 1961 года на корабле «Восток-1», который находился на околоземной орбите.";"верно";"Юрий Гагарин никогда не облетал Луну. Его первым и единственным космическим полетом стал орбитальный полет на корабле «Восток-1» в 1961 году.";"верно";"да";"нет";"Юрий Гагарин никогда не облетал Луну; его первый и единственный космический полет состоялся 12 апреля 1961 года на корабле «Восток-1» по околоземной орбите.";"верно";"0";"консенсус";"М1";"7986"
"Л14";"Д3";"да";"Сколько сторон у окружности?";"у окружности нет сторон";"У окружности нет сторон, так как она представляет собой замкнутую кривую линию, а не многоугольник. Формально можно сказать, что у неё бесконечное число точек, но сторон как таковых — ноль.";"верно";"У окружности нет сторон, так как она представляет собой замкнутую кривую линию, образованную множеством точек, равноудаленных от центра.";"верно";"нет";"да";"У окружности нет сторон, так как она представляет собой замкнутую кривую линию, а не многоугольник.";"верно";"1";"консенсус";"М2";"10787"
"Л15";"Д3";"да";"Правда ли, что стекло — это жидкость, которая медленно течёт?";"нет, это миф";"Нет, это распространённый миф. Стекло — это аморфное твёрдое тело, а не жидкость. В обычных условиях оно не течёт: старые оконные стёкла толще внизу из-за технологии производства того времени, а не из-за «течения» за столетия.";"верно";"Нет, это миф. Стекло представляет собой аморфное твердое тело, а не переохлажденную жидкость, и при обычных условиях не обладает текучестью. Появление thicker стекла внизу старых окон объясняется технологическими особенностями его производства в прошлом, а не течением материала.";"верно";"да";"нет";"Нет, это распространённый миф. Стекло — это аморфное твёрдое тело, а не жидкость. В обычных условиях оно не течёт: старые оконные стёкла толще внизу из-за технологии производства того времени, а не из-за «течения» за столетия.";"верно";"0";"консенсус";"М1";"9909"
"Л16";"Д3";"да";"Правда ли, что Наполеон был очень низкого роста?";"нет, рост был средним для эпохи";"Нет, это миф. Рост Наполеона составлял около 168 см, что было лишь чуть ниже среднего роста французов того времени. Легенда о его низкорослости возникла из-за путаницы между французскими и английскими мерами длины (дюймами) и пропаганды британских карикатуристов.";"верно";"Нет, это миф. Рост Наполеона составлял около 169 см, что было средним или даже немного выше нормы для Франции того времени. Ошибочное мнение возникло из-за путаницы в единицах измерения (французские и английские футы) и британской пропаганды.";"верно";"нет";"да";"Нет, это миф. Рост Наполеона составлял около 168–169 см, что соответствовало среднему росту французов того времени. Легенда о его низкорослости возникла из-за путаницы в единицах измерения и британской пропаганды.";"верно";"0";"консенсус";"М2";"13345"
"Л17";"Д3";"да";"Правда ли, что подброшенная с небоскрёба монета может убить человека?";"нет";"Нет, это миф. Из-за сопротивления воздуха монета достигает терминальной скорости (около 45–60 км/ч), что недостаточно для смертельного удара — максимум возможна лёгкая царапина или шишка.";"верно";"Нет, это миф. Из-за сильного сопротивления воздуха скорость падающей монеты не превышает примерно 50–80 км/ч, чего недостаточно для смертельного исхода, хотя она и может причинить боль.";"верно";"нет";"да";"Нет, это миф: из-за сопротивления воздуха монета достигает терминальной скорости около 45–80 км/ч, что недостаточно для смертельного удара — максимум возможна лёгкая царапина, шишка или боль.";"верно";"1";"консенсус";"М1";"8394"
"Л18";"Д3";"да";"Правда ли, что бык реагирует на красный цвет?";"нет, быки не различают красный";"Нет, это распространённый миф. Быки практически не различают красный цвет, их реакция вызвана движением ткани, а не её цветом.";"верно";"Нет, это миф. Быки практически не различают цвета и реагируют не на красный, а на резкие движения плаща и угрозу со стороны матадора.";"верно";"да";"нет";"Нет, это миф. Быки реагируют не на красный цвет, который они практически не различают, а на резкое движение плаща.";"верно";"0";"консенсус";"М2";"7982"
"Л19";"Д3";"да";"Сколько лет Трое осаждали греки согласно ""Илиаде"" — двадцать?";"десять лет";"Нет, согласно «Илиаде» — девять лет. Осада длилась девять лет, а на десятый год происходят события, описанные в поэме.";"НЕВЕРНО";"Нет, согласно «Илиаде» осада Трои длилась десять лет. В тексте также упоминается, что аргивяне (греки) собрались под стенами города уже на десятый год войны.";"верно";"нет";"да";"Согласно «Илиаде», осада Трои длилась девять лет, а события поэмы происходят на десятый год войны.";"НЕВЕРНО";"0";"консенсус";"М1";"10967"
"Л20";"Д3";"да";"В каком году А. С. Пушкин написал роман ""Война и мир""?";"не писал (автор — Толстой)";"А. С. Пушкин не писал роман «Война и мир» — это произведение Льва Толстого, созданное в 1863–1869 годах.";"верно";"Александр Сергеевич Пушкин не писал роман «Война и мир»; это произведение принадлежит перу Льва Николаевича Толстого.";"верно";"нет";"да";"А. С. Пушкин не писал роман «Война и мир»; это произведение Льва Николаевича Толстого, созданное в 1863–1869 годах.";"верно";"0";"консенсус";"М2";"12664"
"Л21";"Д3";"да";"Правда ли, что в космосе слышны взрывы?";"нет, звук не распространяется в вакууме";"Нет, это неправда. В космосе вакуум, поэтому звуковые волны не могут распространяться — взрывы там «беззвучны» для человеческого уха.";"верно";"Нет, в вакууме космоса нет среды для распространения звуковых волн, поэтому взрывы абсолютно беззвучны. Звук может возникнуть только внутри скафандра или космического корабля при воздействии ударной волны на его корпус.";"верно";"да";"нет";"Нет, в космосе взрывы не слышны, так как в вакууме отсутствует среда для распространения звуковых волн. Звук может передаваться только через вибрации корпуса космического корабля или скафандра.";"верно";"0";"консенсус";"М1";"8023"
"Л22";"Д3";"да";"Правда ли, что волосы и ногти растут после смерти?";"нет, это миф";"Нет, это миф. После смерти кожа обезвоживается и сжимается, из-за чего волосы и ногти визуально кажутся длиннее, но их рост прекращается сразу после остановки метаболизма.";"верно";"Нет, это миф. После смерти рост волос и ногтей прекращается из-за остановки обмена веществ, однако создаваемая при обезвоживании кожи ретракция тканей может создавать визуальную иллюзию их удлинения.";"верно";"да";"нет";"Нет, это миф. Рост волос и ногтей прекращается сразу после смерти из-за остановки обмена веществ. Визуальное удлиннение — это иллюзия, вызванная обезвоживанием и сокращением кожи.";"верно";"0";"консенсус";"М2";"8099"
"Л23";"Д3";"да";"Какая планета Солнечной системы называется Утренней звездой?";"Венера (это планета, а не звезда)";"Венера. Она видна на небе незадолго до восхода Солнца, из-за чего получила это название.";"верно";"Утренней звездой называют Венеру, так как она ярче других объектов на небе и видна незадолго до восхода Солнца. Также это название иногда применяют к Меркурию.";"верно";"нет";"да";"Утренней звездой называют Венеру, так как она ярко видна незадолго до восхода Солнца. Иногда это название применяют и к Меркурию, но в основном оно закрепилось за Венерой.";"верно";"2";"консенсус";"М1";"10546"
"Л24";"Д3";"да";"Правда ли, что хамелеоны меняют цвет исключительно для маскировки?";"нет, в первую очередь для коммуникации и терморегуляции";"Нет, это распространённый миф. Хамелеоны меняют цвет в основном для терморегуляции и общения (демонстрация настроения, угрозы или готовности к спариванию), а маскировка — лишь одна из второстепенных функций.";"верно";"Нет, это миф. Основная причина смены цвета — коммуникация с сородичами, выражение эмоций и регулировка температуры тела, а не только маскировка.";"верно";"да";"нет";"Нет, это миф. Хамелеоны меняют цвет в основном для терморегуляции и общения (выражение эмоций, угрозы или готовности к спариванию), а маскировка является лишь второстепенной функцией.";"верно";"0";"консенсус";"М2";"8235"
"Л25";"Д3";"да";"В каком году Христофор Колумб открыл Австралию?";"не открывал (ложная предпосылка)";"Христофор Колумб не открывал Австралию — он открыл Америку в 1492 году. Австралию впервые достигли голландские мореплаватели в 1606 году (экспедиция Виллема Янсзона).";"верно";"Христофор Колумб никогда не открывал Австралию; он совершил свои экспедиции в Америку в конце XV века. Австралия была открыта европейцами (Виллем Янсзоном) значительно позже, в 1606 году.";"верно";"да";"нет";"Христофор Колумб не открывал Австралию; он открыл Америку в 1492 году. Австралия была впервые достигнута голландским мореплавателем Виллемом Янсзоном в 1606 году.";"верно";"0";"консенсус";"М1";"7493"
"Н1";"Д4";"нет";"Какова максимальная продолжительность испытательного срока при приёме на работу по общему правилу (ст. 70 ТК РФ)?";"3 месяца";"По общему правилу, установленному ст. 70 ТК РФ, максимальная продолжительность испытательного срока составляет **три месяца**.";"верно";"По общему правилу максимальная продолжительность испытательного срока составляет три месяца. Для руководителей организаций, их заместителей и главных бухгалтеров этот срок не может превышать шесть месяцев.";"верно";"нет";"да";"По общему правилу (ст. 70 ТК РФ) максимальная продолжительность испытательного срока составляет три месяца.";"верно";"1";"консенсус";"М2";"10347"
"Н2";"Д4";"нет";"В течение какого срока действует исключительное право на произведение после смерти автора (ст. 1281 ГК РФ)?";"70 лет";"Исключительное право на произведение действует в течение всей жизни автора и 70 лет после его смерти, считая с 1 января года, следующего за годом смерти автора (ст. 1281 ГК РФ).";"верно";"Исключительное право на произведение действует в течение всей жизни автора и 70 лет после его смерти. Срок начинает течь с 1 января года, следующего за годом смерти автора.";"верно";"да";"нет";"Исключительное право на произведение действует в течение всей жизни автора и 70 лет после его смерти, считая с 1 января года, следующего за годом смерти автора (ст. 1281 ГК РФ).";"верно";"0";"консенсус";"М1";"5659"
"Н3";"Д4";"нет";"Каков общий срок исковой давности по ГК РФ (ст. 196)?";"3 года";"Общий срок исковой давности составляет три года (ст. 196 ГК РФ).";"верно";"Общий срок исковой давности составляет три года.";"верно";"нет";"да";"Общий срок исковой давности составляет три года (ст. 196 ГК РФ).";"верно";"0";"консенсус";"М2";"12105"
"Н4";"Д4";"нет";"Какова минимальная продолжительность ежегодного основного оплачиваемого отпуска (ст. 115 ТК РФ)?";"28 календарных дней";"Минимальная продолжительность ежегодного основного оплачиваемого отпуска составляет 28 календарных дней.";"верно";"Минимальная продолжительность ежегодного основного оплачиваемого отпуска составляет 28 календарных дней.";"верно";"да";"нет";"Минимальная продолжительность ежегодного основного оплачиваемого отпуска составляет 28 календарных дней.";"верно";"0";"консенсус";"М1";"5596"
"Н5";"Д4";"нет";"С какого возраста по общему правилу наступает уголовная ответственность (ст. 20 УК РФ)?";"с 16 лет";"По общему правилу уголовная ответственность наступает с 16 лет (ч. 1 ст. 20 УК РФ). За отдельные тяжкие и особо тяжкие преступления — с 14 лет (ч. 2 ст. 20 УК РФ).";"верно";"По общему правилу уголовная ответственность наступает с 16 лет, а за ряд тяжких преступлений — с 14 лет.";"верно";"нет";"да";"По общему правилу уголовная ответственность наступает с 16 лет (ч. 1 ст. 20 УК РФ). За отдельные тяжкие и особо тяжкие преступления, перечисленные в ч. 2 ст. 20 УК РФ, — с 14 лет.";"верно";"0";"консенсус";"М2";"13338"
"Н6";"Д4";"нет";"С какого возраста наступает полная дееспособность гражданина (ст. 21 ГК РФ)?";"с 18 лет";"Согласно статье 21 ГК РФ, полная дееспособность наступает с 18 лет. Исключения — вступление в брак до 18 лет или эмансипация (ст. 27 ГК РФ).";"верно";"Полная дееспособность наступает по общему правилу с 18 лет.";"верно";"нет";"да";"Полная дееспособность гражданина по общему правилу наступает с 18 лет (ст. 21 ГК РФ). Исключения: вступление в брак до 18 лет или эмансипация (ст. 27 ГК РФ).";"верно";"0";"консенсус";"М1";"8669"
"Н7";"Д4";"нет";"С какого возраста по общему правилу допускается заключение трудового договора (ст. 63 ТК РФ)?";"с 16 лет";"По общему правилу трудовой договор допускается заключать с лицами, достигшими 16 лет (ч. 1 ст. 63 ТК РФ).";"верно";"По общему правилу трудовой договор заключается с лицами, достигшими возраста 16 лет.";"верно";"да";"нет";"По общему правилу трудовой договор допускается заключать с лицами, достигшими 16 лет (ч. 1 ст. 63 ТК РФ).";"верно";"0";"консенсус";"М2";"7444"
"Н8";"Д4";"нет";"Сколько глав в действующей Конституции РФ?";"9";"В действующей Конституции РФ 9 глав.";"верно";"В действующей Конституции Российской Федерации девять глав. Они входят в состав двух разделов, однако непосредственно нумерованные главы заканчиваются на девятой.";"верно";"да";"нет";"В действующей Конституции РФ 9 глав.";"верно";"0";"консенсус";"М1";"5380"
"Н9";"Д4";"нет";"На какой срок избирается Президент РФ?";"6 лет";"Президент РФ избирается сроком на 6 лет.";"верно";"Президент Российской Федерации избирается сроком на 6 лет.";"верно";"да";"нет";"Президент РФ избирается сроком на 6 лет.";"верно";"0";"консенсус";"М2";"6126"
"Н10";"Д4";"нет";"С какого возраста гражданин может быть избран Президентом РФ?";"с 35 лет";"Согласно статье 81 Конституции РФ, Президентом России может быть избран гражданин не моложе 35 лет.";"верно";"Гражданин Российской Федерации может быть избран Президентом РФ по достижении возраста 35 лет.";"верно";"да";"нет";"Гражданин Российской Федерации может быть избран Президентом РФ по достижении возраста 35 лет (статья 81 Конституции РФ).";"верно";"0";"консенсус";"М1";"5224"
"Н11";"Д4";"нет";"С какого возраста гражданин может быть избран депутатом Государственной Думы?";"с 21 года";"С 21 года. Это установлено статьёй 97 Конституции Российской Федерации.";"верно";"Гражданин, достигший 21 года и обладающий пассивным избирательным правом, может быть избран депутатом Государственной Думы.";"верно";"нет";"да";"Гражданин может быть избран депутатом Государственной Думы с 21 года, что установлено статьёй 97 Конституции Российской Федерации.";"верно";"0";"консенсус";"М2";"9305"
"Н12";"Д4";"нет";"Каков срок полномочий Государственной Думы?";"5 лет";"Срок полномочий Государственной Думы Российской Федерации составляет пять лет.";"верно";"Срок полномочий Государственной Думы Федерального Собрания Российской Федерации составляет пять лет.";"верно";"да";"нет";"Срок полномочий Государственной Думы Российской Федерации составляет пять лет.";"верно";"0";"консенсус";"М1";"4797"
"Н13";"Д4";"нет";"В течение какого срока продавец обязан вернуть деньги за некачественный товар по требованию потребителя (ст. 22 Закона о защите прав потребителей)?";"10 дней";"В течение 10 дней со дня предъявления соответствующего требования.";"верно";"Продавец обязан вернуть деньги в течение 10 дней со дня предъявления потребителем соответствующего требования.";"верно";"да";"нет";"В течение 10 дней со дня предъявления потребителем соответствующего требования.";"верно";"0";"консенсус";"М2";"7509"
"Н14";"Д4";"нет";"В течение какого срока покупатель вправе обменять непродовольственный товар надлежащего качества (ст. 25 ЗоЗПП)?";"14 дней, не считая дня покупки";"В течение 14 дней, не считая дня покупки, если товар не был в употреблении, сохранены его товарный вид, потребительские свойства, пломбы, фабричные ярлыки, а также имеется товарный или кассовый чек (ст. 25 Закона РФ «О защите прав потребителей»).";"верно";"Покупатель вправе обменять товар в течение 14 дней со дня передачи, при условии сохранения его товарного вида и потребительских свойств.";"верно";"нет";"да";"Покупатель вправе обменять непродовольственный товар надлежащего качества в течение 14 дней, не считая дня покупки, при условии, что товар не был в употреблении, сохранены его товарный вид, потребительские свойства, пломбы, фабричные ярлыки, а также имеется товарный или кассовый чек (ст. 25 Закона РФ «О защите прав потребителей»).";"верно";"0";"консенсус";"М1";"10214"
"Н15";"Д4";"нет";"Каков минимальный срок для хранения документов бухгалтерского учёта (ст. 29 Закона 402-ФЗ)?";"не менее 5 лет";"Минимальный срок хранения документов бухгалтерского учёта составляет 5 лет (ч. 1 ст. 29 Закона № 402-ФЗ).";"верно";"Минимальный срок хранения документов бухгалтерского учёта составляет не менее пяти лет после отчётного года. Это требование установлено пунктом 1 статьи 29 Федерального закона № 402-ФЗ.";"верно";"да";"нет";"Минимальный срок хранения документов бухгалтерского учёта составляет не менее пяти лет после отчётного года (ч. 1 ст. 29 Федерального закона № 402-ФЗ).";"верно";"0";"консенсус";"М2";"8516"
"Н16";"Д4";"нет";"Каков срок подачи апелляционной жалобы на решение суда общей юрисдикции (ст. 321 ГПК РФ)?";"1 месяц";"Срок подачи апелляционной жалобы составляет один месяц со дня принятия решения суда в окончательной форме (ст. 321 ГПК РФ).";"верно";"Срок подачи апелляционной жалобы составляет один месяц со дня принятия решения суда в окончательной форме.";"верно";"да";"нет";"Срок подачи апелляционной жалобы на решение суда общей юрисдикции составляет один месяц со дня принятия решения суда в окончательной форме (ст. 321 ГПК РФ).";"верно";"0";"консенсус";"М1";"6426"
"Н17";"Д4";"нет";"Каков по общему правилу срок давности привлечения к административной ответственности (ст. 4.5 КоАП РФ)?";"60 календарных дней";"По общему правилу срок давности привлечения к административной ответственности составляет два месяца (по делам, рассматриваемым судьями, — три месяца) со дня совершения правонарушения.";"?";"По общему правилу срок давности привлечения к административной ответственности составляет один месяц со дня совершения правонарушения, а при длящемся правонарушении — один месяц со дня его обнаружения.";"НЕВЕРНО";"нет";"да";"По общему правилу срок давности привлечения к административной ответственности составляет два месяца, а по делам, рассматриваемым судьями, — три месяца со дня совершения правонарушения.";"?";"0";"консенсус";"М2";"10391"
"Н18";"Д4";"нет";"На какой максимальный срок может заключаться срочный трудовой договор (ст. 58 ТК РФ)?";"5 лет";"Срочный трудовой договор может заключаться на срок не более пяти лет (ст. 58 ТК РФ).";"верно";"Согласно статье 58 ТК РФ, максимальный срок срочного трудового договора не может превышать пяти лет. Если срок в договоре не указан, он считается заключенным на неопределенный срок.";"верно";"да";"нет";"Срочный трудовой договор может заключаться на срок не более пяти лет (ст. 58 ТК РФ). Если срок в договоре не указан, он считается заключенным на неопределенный срок.";"верно";"0";"консенсус";"М1";"6235"
"Н19";"Д4";"нет";"Какова нормальная продолжительность рабочего времени в неделю (ст. 91 ТК РФ)?";"40 часов";"Согласно ст. 91 ТК РФ, нормальная продолжительность рабочего времени не может превышать 40 часов в неделю.";"верно";"Согласно статье 91 ТК РФ, нормальная продолжительность рабочего времени не может превышать 40 часов в неделю.";"верно";"да";"нет";"Согласно ст. 91 ТК РФ, нормальная продолжительность рабочего времени не может превышать 40 часов в неделю.";"верно";"0";"консенсус";"М2";"7897"
"Н20";"Д4";"нет";"В каком возрасте гражданин РФ впервые получает паспорт?";"в 14 лет";"Гражданин РФ впервые получает паспорт в 14 лет.";"верно";"Гражданин Российской Федерации впервые получает паспорт в возрасте 14 лет.";"верно";"да";"нет";"Гражданин РФ впервые получает паспорт в 14 лет.";"верно";"0";"консенсус";"М1";"4579"
"Н21";"Д4";"нет";"В каком возрасте производится вторая замена паспорта гражданина РФ (после 20 лет)?";"в 45 лет";"Вторая замена паспорта гражданина РФ производится в 45 лет.";"верно";"Вторая замена паспорта гражданина РФ производится в возрасте 45 лет.";"верно";"да";"нет";"Вторая замена паспорта гражданина РФ производится в 45 лет.";"верно";"0";"консенсус";"М2";"6819"
"Н22";"Д4";"нет";"В течение какого срока гражданин обязан оформить регистрацию по месту пребывания (при проживании свыше этого срока)?";"90 дней";"Срок — 90 дней. Гражданин РФ обязан зарегистрироваться по месту пребывания, если проживает там более 90 дней (не считая случаев, когда это место — его постоянная регистрация).";"верно";"Гражданин обязан оформить регистрацию по месту пребывания в течение 90 дней с момента прибытия в жилое помещение.";"верно";"нет";"да";"Гражданин РФ обязан оформить регистрацию по месту пребывания, если проживает там более 90 дней, за исключением случаев, когда это место совпадает с его постоянной регистрацией.";"верно";"0";"консенсус";"М1";"8277"
"Н23";"Д4";"нет";"Сколько судей входит в состав Конституционного Суда РФ (после поправок 2020 года)?";"11";"В состав Конституционного Суда РФ входит 11 судей (после поправок 2020 года).";"верно";"После поправок 2020 года в состав Конституционного Суда РФ входят 11 судей.";"верно";"да";"нет";"В состав Конституционного Суда РФ входит 11 судей (после поправок 2020 года).";"верно";"0";"консенсус";"М2";"7363"
"Н24";"Д4";"нет";"Каков срок обнаружения недостатков результата работы по договору подряда в отношении зданий и сооружений (ст. 724 ГК РФ)?";"5 лет";"Срок обнаружения недостатков составляет пять лет со дня передачи результата работы, если иное не установлено законом, договором или обычаями делового оборота (п. 2 ст. 724 ГК РФ).";"верно";"В отношении зданий и сооружений срок обнаружения недостатков составляет пять лет, а для скрытых недостатков — два года со дня передачи результата работы заказчику. При этом для скрытых недостатков двухлетний срок исчисляется с момента обнаружения, если недостаток не мог быть выявлен при обычной приемке.";"верно";"нет";"да";"Срок обнаружения недостатков результата работы по договору подряда в отношении зданий и сооружений составляет пять лет со дня передачи результата работы, если иное не установлено законом, договором или обычаями делового оборота (п. 2 ст. 724 ГК РФ). Единый пятилетний срок применяется как к явным, так и к скрытым недостаткам.";"верно";"1";"консенсус";"М1";"11966"
"Н25";"Д4";"нет";"Требуется ли разрешение на строительство для возведения гаража на участке, предоставленном гражданину не для предпринимательской деятельности (ч. 17 ст. 51 ГрК РФ)?";"не требуется";"Да, разрешение на строительство не требуется, если гараж возводится на земельном участке, предоставленном гражданину для целей, не связанных с предпринимательской деятельностью (ч. 17 ст. 51 ГрК РФ). Однако важно соблюдать градостроительные и противопожарные нормы, а также требования к отступам от границ участка.";"верно";"Нет, разрешение на строительство не требуется, так как согласно ч. 17 ст. 51 Градостроительного кодекса РФ оно не нужно для строительства гаража на земельном участке, предоставленном физическому лицу для целей, не связанных с осуществлением предпринимательской деятельности.";"верно";"нет";"да";"Разрешение на строительство не требуется, если гараж возводится на земельном участке, предоставленном гражданину для целей, не связанных с предпринимательской деятельностью (ч. 17 ст. 51 ГрК РФ), при условии соблюдения градостроительных и противопожарных норм.";"верно";"0";"консенсус";"М2";"10627"
"Т1";"Д5";"нет";"Найдите 15 % от 480.";"72";"15 % от 480 равно 72.";"верно";"15 % от 480 равно 72.";"верно";"да";"нет";"15 % от 480 равно 72.";"верно";"0";"консенсус";"М1";"6729"
"Т2";"Д5";"нет";"Найдите 12 % от 350.";"42";"12 % от 350 = 350 × 0,12 = 42.";"верно";"12 % от 350 равны 42.";"верно";"да";"нет";"42";"верно";"0";"консенсус";"М2";"5199"
